iter	Passed	Remaining
461	778	906
462	779	904
463	781	902
464	782	900
465	783	897
466	784	895
467	785	892
468	787	891
469	789	890
470	791	888
471	792	886
472	793	883
473	794	881
474	795	879
475	796	876
476	797	874
477	798	872
478	799	870
479	801	867
480	804	867
481	805	865
482	806	863
483	808	861
484	809	859
485	810	857
486	811	855
487	812	852
488	813	850
489	814	848
490	817	847
491	819	846
492	821	844
493	822	842
494	823	840
495	824	837
496	826	836
497	827	833
498	828	831
499	829	829
500	829	826
501	834	827
502	836	826
503	837	823
504	838	821
505	839	819
506	840	817
507	841	814
508	842	812
509	843	810
510	844	808
511	846	806
512	848	805
513	849	803
514	851	801
515	852	800
516	854	797
517	855	795
518	856	794
519	858	792
520	859	790
521	863	790
522	864	788
523	865	786
524	866	784
525	867	782
526	868	779
527	870	777
528	871	775
529	872	773
530	873	771
531	874	769
532	877	769
533	879	767
534	881	765
535	882	763
536	883	761
537	884	759
538	885	757
539	886	754
540	887	752
541	888	750
542	889	748
543	891	746
544	893	745
545	894	744
546	895	741
547	897	739
548	898	737
549	899	735
550	900	733
551	901	731
552	902	729
553	904	727
554	905	725
555	909	726
556	910	724
557	911	721
558	912	719
559	913	717
560	914	715
561	915	713
562	916	711
563	917	709
564	918	707
565	919	705
566	923	704
567	924	703
568	925	701
569	927	699
570	928	697
571	929	695
572	929	693
573	931	691
574	932	688
575	932	686
576	933	684
577	934	682
578	936	680
579	938	679
580	939	677
581	941	675
582	942	673
583	943	671
584	944	670
585	945	668
586	946	666
587	947	663
588	949	662
589	950	660
590	952	659
591	954	657
592	955	655
593	956	653
594	957	651
595	958	649
596	959	647
597	960	645
598	961	643
599	962	641
600	963	639
601	965	638
602	967	637
603	968	635
604	969	633
605	971	631
606	972	629
607	973	627
608	974	625
609	975	623
610	977	622
611	977	620
612	979	618
613	981	617
614	983	615
615	984	613
616	985	611
617	986	609
618	987	607
619	988	605
620	989	603
621	990	601
622	991	600
623	993	598
624	997	598
625	998	596
626	999	594
627	1001	593
628	1001	590
629	1003	589
630	1004	587
631	1005	585
632	1007	583
633	1008	582
634	1010	580
635	1013	579
636	1014	578
637	1015	576
638	1016	574
639	1017	572
640	1018	570
641	1019	568
642	1020	566
